read_name	total_reads	unique	multi	clipped	in_gene	in_gene_and_acceptor	candidate_transcripts
7893_5#1	9576366	8580793	441745	197403	140916	92420	1043
7893_5#10	6299898	4918698	488049	138082	101305	63687	590
7893_5#11	9739028	7652841	772674	189259	143571	90618	1015
7893_5#12	6405062	5245891	428030	130053	95859	57775	584
7893_5#2	6618236	5961112	286820	139168	103557	66494	664
7893_5#3	10377424	9381870	435332	188576	131597	80241	1040
7893_5#4	10770448	9385436	598108	211509	161346	103953	1186
7893_5#5	7869356	6858713	408295	158202	125504	77344	725
7893_5#6	11432589	9874289	563104	230818	182168	107542	1169
7893_5#7	11949677	8276328	1313885	240427	188840	123991	1895
7893_5#8	7200785	5044638	807444	132585	102338	66045	855
7893_5#9	10711850	7901431	1291824	205580	152315	100255	1360
9887_3#13	12738510	11458678	377536	412330	189674	115345	1552
9887_4#13	10852170	9743978	321007	344742	154450	94767	1211
9887_5#12	18025609	16684871	540053	539379	270529	157166	2300
9887_6#12	18806132	17400602	561229	562878	282981	164891	2425
9887_7#12	17576746	16050881	501766	472723	232073	136251	2160
9887_8#12	15723469	14357583	454451	421529	206286	120639	1876
