analysis_dir	total_reads	unique	multi	clipped	in_gene	in_gene_and_acceptor	candidate_transcripts
adult_mid_strobila_1	10763353	9384135	595443	211360	161212	103835	1182 adult_mid_strobila_1
activated_protoscolex_1	14846352	11693236	2838781	487395	393808	222366	3219 activated_protoscolex_1
activated_protoscolex_2	15368280	12090540	2946579	509189	411708	232544	3344 activated_protoscolex_2
activated_protoscolex_3	12376944	10023682	2189939	309568	254999	147152	2430 activated_protoscolex_3
jird_metacestode_1	11366543	2970444	1761488	150670	126764	76541	806 jird_metacestode_1
jird_metacestode_2	14709542	3867502	1591685	156686	121579	68870	1080 jird_metacestode_2
nonactivated_protoscolex_3	13160886	10365827	2537142	358857	293766	172078	2666 nonactivated_protoscolex_3
adult_mid_strobila_1	10763353	9384135	595443	211360	161212	103835	1182 adult_mid_strobila_1
adult_mid_strobila_2	7863657	6858054	406837	158124	125431	77289	722 adult_mid_strobila_2
adult_mid_strobila_3	11422663	9873223	560170	230652	182011	107405	1163 adult_mid_strobila_3
adult_posterior_strobila_1	11895439	8270630	1304035	239682	188184	123540	1885 adult_posterior_strobila_1
adult_posterior_strobila_2	7170755	5041443	802360	132189	102002	65833	849 adult_posterior_strobila_2
adult_posterior_strobila_3	10692237	7898262	1287488	205194	151992	100037	1347 adult_posterior_strobila_3
adult_scolex_1	9568621	8579999	440563	197152	140682	92231	1041 adult_scolex_1
adult_scolex_2	6613700	5960703	286259	139031	103431	66394	665 adult_scolex_2
adult_scolex_3	10372118	9381317	434166	188475	131505	80171	1035 adult_scolex_3
adult_whole_1	6286843	4917212	485634	137911	101151	63573	588 adult_whole_1
adult_whole_2	9713140	7650079	766436	189034	143361	90465	1012 adult_whole_2
adult_whole_3	6395794	5244829	425816	129927	95756	57693	580 adult_whole_3
larvae_1	23311458	21199354	696947	733543	332826	203113	2958 larvae_1
larvae_2	36813718	34083793	1098632	1100861	552764	321356	5028 larvae_2
larvae_3	33286556	30407767	953837	892863	437722	256430	4191 larvae_3
