species	sample	SL_cluster	SL_type
s_mansoni	miracidia_1	355	SL1
s_mansoni	miracidia_2	411	SL1
s_mansoni	miracidia_3	669	SL1
s_mansoni	sporocyst_1	37	SL1
s_mansoni	sporocyst_2	35	SL1
s_mansoni	sporocyst_3	17	SL1
s_mansoni	cercariae_1	3092	SL1
s_mansoni	cercariae_2	9453	SL1
s_mansoni	cercariae_3	614	SL1
s_mansoni	adult_male_1	201	SL1
s_mansoni	adult_male_2	1049	SL1
s_mansoni	adult_male_3	924	SL1
s_mansoni	adult_female_1	2466	SL1
s_mansoni	adult_female_2	44	SL1
s_mansoni	adult_female_3	4860	SL1
e_multilocularis	activated_protoscolex	439	SL1
e_multilocularis	nonactivated_protoscolex	406	SL1
e_multilocularis	jird_metacestode_1	38	SL1
e_multilocularis	jird_metacestode_2	380	SL1
e_multilocularis	primary_cells_stage_1	444	SL1
e_multilocularis	primary_cells_stage_2	493	SL1
h_microstoma	adult_mid_strobilia_1	3978	SL1
h_microstoma	adult_mid_strobilia_2	77	SL1
h_microstoma	adult_mid_strobilia_3	143	SL1
h_microstoma	adult_posterior_stobilia_1	12693	SL1
h_microstoma	adult_posterior_stobilia_2	5374	SL1
h_microstoma	adult_posterior_stobilia_3	14901	SL1
h_microstoma	adult_scolex_1	1468	SL1
h_microstoma	adult_scolex_2	1385	SL1
h_microstoma	adult_scolex_3	80	SL1
h_microstoma	adult_whole_1	-	SL1
h_microstoma	adult_whole_2	5339	SL1
h_microstoma	adult_whole_3	5907	SL1
h_microstoma	larvae_1	974	SL1
h_microstoma	larvae_2	245	SL1
h_microstoma	larvae_3	1410	SL1
h_microstoma	adult_mid_strobilia_1	33749	SL2
h_microstoma	adult_mid_strobilia_2	509	SL2
h_microstoma	adult_mid_strobilia_3	2661	SL2
h_microstoma	adult_posterior_stobilia_1	6612	SL2
h_microstoma	adult_posterior_stobilia_2	21725	SL2
h_microstoma	adult_posterior_stobilia_3	2182	SL2
h_microstoma	adult_scolex_1	21431	SL2
h_microstoma	adult_scolex_2	6847	SL2
h_microstoma	adult_scolex_3	8519	SL2
h_microstoma	adult_whole_1	2596	SL2
h_microstoma	adult_whole_2	676	SL2
h_microstoma	adult_whole_3	393	SL2
h_microstoma	larvae_1	9315	SL2
h_microstoma	larvae_2	244	SL2
h_microstoma	larvae_3	8652	SL2
h_microstoma	adult_mid_strobilia_1	32	SL3
h_microstoma	adult_mid_strobilia_2	6585	SL3
h_microstoma	adult_mid_strobilia_3	6120	SL3
h_microstoma	adult_posterior_stobilia_1	6154	SL3
h_microstoma	adult_posterior_stobilia_2	8148	SL3
h_microstoma	adult_posterior_stobilia_3	732	SL3
h_microstoma	adult_scolex_1	-	SL3
h_microstoma	adult_scolex_2	690	SL3
h_microstoma	adult_scolex_3	6397	SL3
h_microstoma	adult_whole_1	10348	SL3
h_microstoma	adult_whole_2	14568	SL3
h_microstoma	adult_whole_3	-	SL3
h_microstoma	larvae_1	768	SL3
h_microstoma	larvae_2	759	SL3
h_microstoma	larvae_3	1409	SL3
